example file                                                                   
k1=1.0E13,k2=1.0E13,k3=500000.0,k4=1000.0,k5=1.0,
Iter,Time,a,b,c,d,m,n,p,
410,0.409000E-06,0.264392E-06,0.656377E-07,0.843362E-06,0.133116E-06,0.301246E-06,0.267935E-06,0.333110E-07,
411,0.410000E-06,0.263867E-06,0.654647E-07,0.844535E-06,0.132938E-06,0.301598E-06,0.268153E-06,0.334450E-07,
412,0.411000E-06,0.263345E-06,0.652925E-07,0.845708E-06,0.132760E-06,0.301948E-06,0.268369E-06,0.335790E-07,
413,0.412000E-06,0.262824E-06,0.651211E-07,0.846879E-06,0.132582E-06,0.302297E-06,0.268584E-06,0.337133E-07,
414,0.413000E-06,0.262305E-06,0.649504E-07,0.848050E-06,0.132405E-06,0.302645E-06,0.268797E-06,0.338476E-07,
415,0.414000E-06,0.261789E-06,0.647806E-07,0.849219E-06,0.132228E-06,0.302992E-06,0.269010E-06,0.339820E-07,
416,0.415000E-06,0.261274E-06,0.646115E-07,0.850389E-06,0.132051E-06,0.303338E-06,0.269221E-06,0.341165E-07,
417,0.416000E-06,0.260761E-06,0.644432E-07,0.851557E-06,0.131875E-06,0.303682E-06,0.269431E-06,0.342511E-07,
418,0.417000E-06,0.260250E-06,0.642756E-07,0.852724E-06,0.131699E-06,0.304025E-06,0.269640E-06,0.343859E-07,
419,0.418000E-06,0.259741E-06,0.641088E-07,0.853891E-06,0.131524E-06,0.304368E-06,0.269847E-06,0.345207E-07,
420,0.419000E-06,0.259234E-06,0.639427E-07,0.855057E-06,0.131348E-06,0.304709E-06,0.270053E-06,0.346556E-07,
421,0.420000E-06,0.258729E-06,0.637774E-07,0.856223E-06,0.131174E-06,0.305049E-06,0.270258E-06,0.347907E-07,
422,0.421000E-06,0.258225E-06,0.636128E-07,0.857387E-06,0.131000E-06,0.305388E-06,0.270462E-06,0.349258E-07,
423,0.422000E-06,0.257724E-06,0.634490E-07,0.858551E-06,0.130826E-06,0.305725E-06,0.270664E-06,0.350611E-07,
424,0.423000E-06,0.257224E-06,0.632859E-07,0.859714E-06,0.130652E-06,0.306062E-06,0.270866E-06,0.351964E-07,
425,0.424000E-06,0.256726E-06,0.631235E-07,0.860877E-06,0.130479E-06,0.306397E-06,0.271066E-06,0.353319E-07,
426,0.425000E-06,0.256230E-06,0.629618E-07,0.862038E-06,0.130306E-06,0.306732E-06,0.271264E-06,0.354674E-07,
427,0.426000E-06,0.255736E-06,0.628010E-07,0.863199E-06,0.130134E-06,0.307065E-06,0.271462E-06,0.356030E-07,
428,0.427000E-06,0.255243E-06,0.626411E-07,0.864359E-06,0.129961E-06,0.307398E-06,0.271659E-06,0.357388E-07,
429,0.428000E-06,0.254753E-06,0.624819E-07,0.865518E-06,0.129789E-06,0.307729E-06,0.271854E-06,0.358746E-07,
430,0.429000E-06,0.254264E-06,0.623234E-07,0.866677E-06,0.129617E-06,0.308059E-06,0.272049E-06,0.360106E-07,
431,0.430000E-06,0.253777E-06,0.621657E-07,0.867834E-06,0.129446E-06,0.308389E-06,0.272242E-06,0.361466E-07,
432,0.431000E-06,0.253292E-06,0.620086E-07,0.868991E-06,0.129275E-06,0.308717E-06,0.272434E-06,0.362827E-07,
433,0.432000E-06,0.252809E-06,0.618523E-07,0.870148E-06,0.129104E-06,0.309044E-06,0.272625E-06,0.364190E-07,
434,0.433000E-06,0.252327E-06,0.616967E-07,0.871303E-06,0.128934E-06,0.309370E-06,0.272814E-06,0.365553E-07,
435,0.434000E-06,0.251847E-06,0.615417E-07,0.872458E-06,0.128764E-06,0.309695E-06,0.273003E-06,0.366917E-07,
436,0.435000E-06,0.251369E-06,0.613875E-07,0.873613E-06,0.128594E-06,0.310019E-06,0.273190E-06,0.368282E-07,
437,0.436000E-06,0.250892E-06,0.612339E-07,0.874766E-06,0.128425E-06,0.310342E-06,0.273377E-06,0.369648E-07,
438,0.437000E-06,0.250418E-06,0.610810E-07,0.875919E-06,0.128256E-06,0.310663E-06,0.273562E-06,0.371015E-07,
439,0.438000E-06,0.249945E-06,0.609288E-07,0.877071E-06,0.128087E-06,0.310984E-06,0.273746E-06,0.372383E-07,
440,0.439000E-06,0.249473E-06,0.607773E-07,0.878223E-06,0.127919E-06,0.311304E-06,0.273929E-06,0.373752E-07,
441,0.440000E-06,0.249004E-06,0.606264E-07,0.879374E-06,0.127751E-06,0.311623E-06,0.274111E-06,0.375122E-07,
442,0.441000E-06,0.248536E-06,0.604762E-07,0.880524E-06,0.127583E-06,0.311941E-06,0.274291E-06,0.376492E-07,
443,0.442000E-06,0.248069E-06,0.603267E-07,0.881673E-06,0.127416E-06,0.312257E-06,0.274471E-06,0.377864E-07,
444,0.443000E-06,0.247605E-06,0.601778E-07,0.882822E-06,0.127249E-06,0.312573E-06,0.274649E-06,0.379236E-07,
445,0.444000E-06,0.247142E-06,0.600296E-07,0.883970E-06,0.127083E-06,0.312888E-06,0.274827E-06,0.380610E-07,
446,0.445000E-06,0.246681E-06,0.598820E-07,0.885118E-06,0.126917E-06,0.313201E-06,0.275003E-06,0.381984E-07,
447,0.446000E-06,0.246221E-06,0.597350E-07,0.886265E-06,0.126751E-06,0.313514E-06,0.275178E-06,0.383359E-07,
448,0.447000E-06,0.245763E-06,0.595887E-07,0.887411E-06,0.126585E-06,0.313826E-06,0.275352E-06,0.384735E-07,
449,0.448000E-06,0.245306E-06,0.594431E-07,0.888557E-06,0.126420E-06,0.314137E-06,0.275526E-06,0.386112E-07,
450,0.449000E-06,0.244852E-06,0.592980E-07,0.889702E-06,0.126256E-06,0.314446E-06,0.275698E-06,0.387489E-07,
451,0.450000E-06,0.244398E-06,0.591536E-07,0.890846E-06,0.126091E-06,0.314755E-06,0.275868E-06,0.388868E-07,
452,0.451000E-06,0.243947E-06,0.590097E-07,0.891990E-06,0.125927E-06,0.315063E-06,0.276038E-06,0.390247E-07,
453,0.452000E-06,0.243497E-06,0.588665E-07,0.893133E-06,0.125764E-06,0.315370E-06,0.276207E-06,0.391628E-07,
454,0.453000E-06,0.243048E-06,0.587239E-07,0.894276E-06,0.125600E-06,0.315676E-06,0.276375E-06,0.393009E-07,
455,0.454000E-06,0.242601E-06,0.585819E-07,0.895418E-06,0.125437E-06,0.315981E-06,0.276542E-06,0.394391E-07,
456,0.455000E-06,0.242156E-06,0.584405E-07,0.896559E-06,0.125275E-06,0.316285E-06,0.276707E-06,0.395773E-07,
457,0.456000E-06,0.241712E-06,0.582997E-07,0.897700E-06,0.125113E-06,0.316588E-06,0.276872E-06,0.397157E-07,
458,0.457000E-06,0.241270E-06,0.581595E-07,0.898840E-06,0.124951E-06,0.316890E-06,0.277036E-06,0.398541E-07,
459,0.458000E-06,0.240829E-06,0.580199E-07,0.899980E-06,0.124789E-06,0.317191E-06,0.277198E-06,0.399927E-07,
460,0.459000E-06,0.240390E-06,0.578808E-07,0.901119E-06,0.124628E-06,0.317491E-06,0.277360E-06,0.401313E-07,
461,0.460000E-06,0.239952E-06,0.577423E-07,0.902258E-06,0.124468E-06,0.317790E-06,0.277520E-06,0.402699E-07,
462,0.461000E-06,0.239516E-06,0.576044E-07,0.903396E-06,0.124307E-06,0.318088E-06,0.277680E-06,0.404087E-07,
463,0.462000E-06,0.239081E-06,0.574670E-07,0.904533E-06,0.124147E-06,0.318386E-06,0.277838E-06,0.405475E-07,
464,0.463000E-06,0.238648E-06,0.573302E-07,0.905670E-06,0.123988E-06,0.318682E-06,0.277996E-06,0.406865E-07,
465,0.464000E-06,0.238216E-06,0.571940E-07,0.906806E-06,0.123828E-06,0.318978E-06,0.278152E-06,0.408255E-07,
466,0.465000E-06,0.237786E-06,0.570583E-07,0.907942E-06,0.123669E-06,0.319272E-06,0.278308E-06,0.409645E-07,
467,0.466000E-06,0.237357E-06,0.569231E-07,0.909077E-06,0.123511E-06,0.319566E-06,0.278462E-06,0.411037E-07,
468,0.467000E-06,0.236930E-06,0.567885E-07,0.910212E-06,0.123353E-06,0.319859E-06,0.278616E-06,0.412429E-07,
469,0.468000E-06,0.236504E-06,0.566544E-07,0.911346E-06,0.123195E-06,0.320151E-06,0.278768E-06,0.413822E-07,
470,0.469000E-06,0.236079E-06,0.565208E-07,0.912479E-06,0.123038E-06,0.320442E-06,0.278920E-06,0.415216E-07,
471,0.470000E-06,0.235656E-06,0.563878E-07,0.913612E-06,0.122881E-06,0.320732E-06,0.279071E-06,0.416611E-07,
472,0.471000E-06,0.235235E-06,0.562553E-07,0.914745E-06,0.122724E-06,0.321021E-06,0.279220E-06,0.418006E-07,
473,0.472000E-06,0.234814E-06,0.561233E-07,0.915877E-06,0.122568E-06,0.321309E-06,0.279369E-06,0.419402E-07,
474,0.473000E-06,0.234396E-06,0.559919E-07,0.917008E-06,0.122412E-06,0.321596E-06,0.279517E-06,0.420799E-07,
475,0.474000E-06,0.233978E-06,0.558614E-07,0.918139E-06,0.122256E-06,0.321883E-06,0.279663E-06,0.422196E-07,
476,0.475000E-06,0.233563E-06,0.557315E-07,0.919269E-06,0.122100E-06,0.322169E-06,0.279809E-06,0.423595E-07,
477,0.476000E-06,0.233149E-06,0.556020E-07,0.920398E-06,0.121945E-06,0.322453E-06,0.279954E-06,0.424994E-07,
478,0.477000E-06,0.232736E-06,0.554732E-07,0.921527E-06,0.121790E-06,0.322737E-06,0.280098E-06,0.426394E-07,
479,0.478000E-06,0.232325E-06,0.553448E-07,0.922655E-06,0.121635E-06,0.323020E-06,0.280241E-06,0.427794E-07,
480,0.479000E-06,0.231915E-06,0.552170E-07,0.923783E-06,0.121481E-06,0.323302E-06,0.280383E-06,0.429195E-07,
481,0.480000E-06,0.231506E-06,0.550897E-07,0.924910E-06,0.121327E-06,0.323584E-06,0.280524E-06,0.430597E-07,
482,0.481000E-06,0.231099E-06,0.549629E-07,0.926037E-06,0.121173E-06,0.323864E-06,0.280664E-06,0.432000E-07,
483,0.482000E-06,0.230693E-06,0.548366E-07,0.927163E-06,0.121020E-06,0.324144E-06,0.280804E-06,0.433403E-07,
484,0.483000E-06,0.230288E-06,0.547109E-07,0.928289E-06,0.120867E-06,0.324423E-06,0.280942E-06,0.434807E-07,
485,0.484000E-06,0.229885E-06,0.545856E-07,0.929414E-06,0.120714E-06,0.324701E-06,0.281079E-06,0.436212E-07,
486,0.485000E-06,0.229483E-06,0.544609E-07,0.930539E-06,0.120562E-06,0.324978E-06,0.281216E-06,0.437617E-07,
487,0.486000E-06,0.229083E-06,0.543367E-07,0.931663E-06,0.120410E-06,0.325254E-06,0.281351E-06,0.439023E-07,
488,0.487000E-06,0.228684E-06,0.542129E-07,0.932787E-06,0.120258E-06,0.325529E-06,0.281486E-06,0.440430E-07,
489,0.488000E-06,0.228286E-06,0.540897E-07,0.933910E-06,0.120107E-06,0.325804E-06,0.281620E-06,0.441837E-07,
490,0.489000E-06,0.227889E-06,0.539670E-07,0.935033E-06,0.119956E-06,0.326078E-06,0.281753E-06,0.443245E-07,
491,0.490000E-06,0.227494E-06,0.538447E-07,0.936155E-06,0.119805E-06,0.326350E-06,0.281885E-06,0.444654E-07,
492,0.491000E-06,0.227100E-06,0.537229E-07,0.937277E-06,0.119655E-06,0.326623E-06,0.282016E-06,0.446064E-07,
493,0.492000E-06,0.226708E-06,0.536016E-07,0.938398E-06,0.119505E-06,0.326894E-06,0.282147E-06,0.447474E-07,
494,0.493000E-06,0.226316E-06,0.534808E-07,0.939519E-06,0.119355E-06,0.327164E-06,0.282276E-06,0.448884E-07,
495,0.494000E-06,0.225926E-06,0.533605E-07,0.940640E-06,0.119205E-06,0.327434E-06,0.282404E-06,0.450296E-07,
496,0.495000E-06,0.225538E-06,0.532406E-07,0.941759E-06,0.119056E-06,0.327703E-06,0.282532E-06,0.451708E-07,
497,0.496000E-06,0.225150E-06,0.531212E-07,0.942879E-06,0.118908E-06,0.327971E-06,0.282659E-06,0.453120E-07,
498,0.497000E-06,0.224764E-06,0.530023E-07,0.943998E-06,0.118759E-06,0.328238E-06,0.282785E-06,0.454533E-07,
499,0.498000E-06,0.224379E-06,0.528838E-07,0.945116E-06,0.118611E-06,0.328505E-06,0.282910E-06,0.455947E-07,
500,0.499000E-06,0.223995E-06,0.527658E-07,0.946234E-06,0.118464E-06,0.328770E-06,0.283034E-06,0.457362E-07,
501,0.500000E-06,0.223613E-06,0.526483E-07,0.947352E-06,0.118316E-06,0.329035E-06,0.283158E-06,0.458777E-07,
502,0.501000E-06,0.223232E-06,0.525312E-07,0.948469E-06,0.118169E-06,0.329299E-06,0.283280E-06,0.460193E-07,
503,0.502000E-06,0.222852E-06,0.524145E-07,0.949585E-06,0.118023E-06,0.329563E-06,0.283402E-06,0.461609E-07,
504,0.503000E-06,0.222473E-06,0.522983E-07,0.950702E-06,0.117876E-06,0.329825E-06,0.283523E-06,0.463026E-07,
505,0.504000E-06,0.222095E-06,0.521826E-07,0.951817E-06,0.117730E-06,0.330087E-06,0.283643E-06,0.464443E-07,
506,0.505000E-06,0.221719E-06,0.520672E-07,0.952933E-06,0.117585E-06,0.330348E-06,0.283762E-06,0.465862E-07,
507,0.506000E-06,0.221344E-06,0.519524E-07,0.954048E-06,0.117439E-06,0.330608E-06,0.283880E-06,0.467280E-07,
508,0.507000E-06,0.220970E-06,0.518379E-07,0.955162E-06,0.117294E-06,0.330868E-06,0.283998E-06,0.468700E-07,
509,0.508000E-06,0.220597E-06,0.517239E-07,0.956276E-06,0.117149E-06,0.331127E-06,0.284115E-06,0.470119E-07,
510,0.509000E-06,0.220226E-06,0.516103E-07,0.957390E-06,0.117005E-06,0.331385E-06,0.284231E-06,0.471540E-07,
511,0.510000E-06,0.219855E-06,0.514971E-07,0.958503E-06,0.116861E-06,0.331642E-06,0.284346E-06,0.472961E-07,
512,0.511000E-06,0.219486E-06,0.513843E-07,0.959616E-06,0.116717E-06,0.331898E-06,0.284460E-06,0.474383E-07,
513,0.512000E-06,0.219118E-06,0.512720E-07,0.960728E-06,0.116574E-06,0.332154E-06,0.284574E-06,0.475805E-07,
514,0.513000E-06,0.218751E-06,0.511600E-07,0.961840E-06,0.116431E-06,0.332409E-06,0.284686E-06,0.477227E-07,
515,0.514000E-06,0.218385E-06,0.510485E-07,0.962952E-06,0.116288E-06,0.332663E-06,0.284798E-06,0.478651E-07,
516,0.515000E-06,0.218020E-06,0.509374E-07,0.964063E-06,0.116146E-06,0.332917E-06,0.284910E-06,0.480075E-07,
517,0.516000E-06,0.217657E-06,0.508266E-07,0.965173E-06,0.116004E-06,0.333170E-06,0.285020E-06,0.481499E-07,
518,0.517000E-06,0.217294E-06,0.507163E-07,0.966284E-06,0.115862E-06,0.333422E-06,0.285130E-06,0.482924E-07,
519,0.518000E-06,0.216933E-06,0.506064E-07,0.967394E-06,0.115720E-06,0.333673E-06,0.285238E-06,0.484349E-07,
520,0.519000E-06,0.216573E-06,0.504968E-07,0.968503E-06,0.115579E-06,0.333924E-06,0.285346E-06,0.485775E-07,
521,0.520000E-06,0.216214E-06,0.503877E-07,0.969612E-06,0.115438E-06,0.334174E-06,0.285454E-06,0.487202E-07,
522,0.521000E-06,0.215856E-06,0.502792E-07,0.970721E-06,0.115298E-06,0.334423E-06,0.285560E-06,0.488629E-07,
523,0.522000E-06,0.215500E-06,0.501711E-07,0.971829E-06,0.115157E-06,0.334671E-06,0.285666E-06,0.490057E-07,
524,0.523000E-06,0.215144E-06,0.500635E-07,0.972936E-06,0.115017E-06,0.334919E-06,0.285771E-06,0.491485E-07,
525,0.524000E-06,0.214790E-06,0.499563E-07,0.974044E-06,0.114878E-06,0.335166E-06,0.285875E-06,0.492913E-07,
526,0.525000E-06,0.214437E-06,0.498495E-07,0.975151E-06,0.114738E-06,0.335412E-06,0.285978E-06,0.494343E-07,
527,0.526000E-06,0.214085E-06,0.497431E-07,0.976257E-06,0.114599E-06,0.335658E-06,0.286081E-06,0.495772E-07,
528,0.527000E-06,0.213734E-06,0.496370E-07,0.977363E-06,0.114460E-06,0.335903E-06,0.286182E-06,0.497203E-07,
529,0.528000E-06,0.213385E-06,0.495314E-07,0.978469E-06,0.114322E-06,0.336147E-06,0.286283E-06,0.498633E-07,
530,0.529000E-06,0.213036E-06,0.494262E-07,0.979574E-06,0.114184E-06,0.336390E-06,0.286384E-06,0.500065E-07,
531,0.530000E-06,0.212688E-06,0.493213E-07,0.980679E-06,0.114046E-06,0.336633E-06,0.286483E-06,0.501497E-07,
532,0.531000E-06,0.212342E-06,0.492169E-07,0.981783E-06,0.113908E-06,0.336875E-06,0.286582E-06,0.502929E-07,
533,0.532000E-06,0.211996E-06,0.491128E-07,0.982887E-06,0.113771E-06,0.337116E-06,0.286680E-06,0.504362E-07,
534,0.533000E-06,0.211652E-06,0.490091E-07,0.983991E-06,0.113634E-06,0.337357E-06,0.286778E-06,0.505795E-07,
535,0.534000E-06,0.211309E-06,0.489058E-07,0.985094E-06,0.113497E-06,0.337597E-06,0.286874E-06,0.507228E-07,
536,0.535000E-06,0.210966E-06,0.488029E-07,0.986197E-06,0.113361E-06,0.337836E-06,0.286970E-06,0.508663E-07,
537,0.536000E-06,0.210625E-06,0.487003E-07,0.987300E-06,0.113225E-06,0.338075E-06,0.287065E-06,0.510097E-07,
538,0.537000E-06,0.210285E-06,0.485982E-07,0.988402E-06,0.113089E-06,0.338313E-06,0.287160E-06,0.511533E-07,
539,0.538000E-06,0.209946E-06,0.484964E-07,0.989504E-06,0.112953E-06,0.338550E-06,0.287254E-06,0.512968E-07,
540,0.539000E-06,0.209608E-06,0.483949E-07,0.990605E-06,0.112818E-06,0.338787E-06,0.287347E-06,0.514404E-07,
541,0.540000E-06,0.209271E-06,0.482939E-07,0.991706E-06,0.112683E-06,0.339023E-06,0.287439E-06,0.515841E-07,
542,0.541000E-06,0.208935E-06,0.481932E-07,0.992807E-06,0.112548E-06,0.339258E-06,0.287531E-06,0.517278E-07,
543,0.542000E-06,0.208600E-06,0.480929E-07,0.993907E-06,0.112414E-06,0.339493E-06,0.287622E-06,0.518715E-07,
544,0.543000E-06,0.208266E-06,0.479929E-07,0.995007E-06,0.112280E-06,0.339727E-06,0.287712E-06,0.520153E-07,
545,0.544000E-06,0.207933E-06,0.478933E-07,0.996107E-06,0.112146E-06,0.339960E-06,0.287801E-06,0.521591E-07,
546,0.545000E-06,0.207601E-06,0.477941E-07,0.997206E-06,0.112013E-06,0.340193E-06,0.287890E-06,0.523030E-07,
547,0.546000E-06,0.207270E-06,0.476952E-07,0.998305E-06,0.111880E-06,0.340425E-06,0.287978E-06,0.524469E-07,
548,0.547000E-06,0.206940E-06,0.475967E-07,0.999403E-06,0.111747E-06,0.340657E-06,0.288066E-06,0.525909E-07,
549,0.548000E-06,0.206611E-06,0.474985E-07,0.100050E-05,0.111614E-06,0.340887E-06,0.288152E-06,0.527349E-07,
550,0.549000E-06,0.206283E-06,0.474007E-07,0.100160E-05,0.111482E-06,0.341118E-06,0.288239E-06,0.528790E-07,
551,0.550000E-06,0.205956E-06,0.473032E-07,0.100270E-05,0.111350E-06,0.341347E-06,0.288324E-06,0.530231E-07,
552,0.551000E-06,0.205630E-06,0.472061E-07,0.100379E-05,0.111218E-06,0.341576E-06,0.288409E-06,0.531672E-07,
553,0.552000E-06,0.205305E-06,0.471093E-07,0.100489E-05,0.111087E-06,0.341804E-06,0.288493E-06,0.533114E-07,
554,0.553000E-06,0.204981E-06,0.470128E-07,0.100599E-05,0.110955E-06,0.342032E-06,0.288576E-06,0.534556E-07,
555,0.554000E-06,0.204658E-06,0.469167E-07,0.100708E-05,0.110824E-06,0.342259E-06,0.288659E-06,0.535999E-07,
556,0.555000E-06,0.204336E-06,0.468210E-07,0.100818E-05,0.110694E-06,0.342485E-06,0.288741E-06,0.537442E-07,
557,0.556000E-06,0.204015E-06,0.467256E-07,0.100927E-05,0.110564E-06,0.342711E-06,0.288822E-06,0.538885E-07,
558,0.557000E-06,0.203694E-06,0.466305E-07,0.101037E-05,0.110433E-06,0.342936E-06,0.288903E-06,0.540329E-07,
559,0.558000E-06,0.203375E-06,0.465357E-07,0.101146E-05,0.110304E-06,0.343161E-06,0.288983E-06,0.541773E-07,
560,0.559000E-06,0.203057E-06,0.464413E-07,0.101256E-05,0.110174E-06,0.343385E-06,0.289063E-06,0.543218E-07,
561,0.560000E-06,0.202739E-06,0.463472E-07,0.101365E-05,0.110045E-06,0.343608E-06,0.289142E-06,0.544663E-07,
562,0.561000E-06,0.202423E-06,0.462535E-07,0.101475E-05,0.109916E-06,0.343831E-06,0.289220E-06,0.546108E-07,
563,0.562000E-06,0.202107E-06,0.461600E-07,0.101584E-05,0.109787E-06,0.344053E-06,0.289297E-06,0.547554E-07,
564,0.563000E-06,0.201793E-06,0.460669E-07,0.101693E-05,0.109659E-06,0.344274E-06,0.289374E-06,0.549000E-07,
565,0.564000E-06,0.201479E-06,0.459741E-07,0.101803E-05,0.109531E-06,0.344495E-06,0.289451E-06,0.550447E-07,
566,0.565000E-06,0.201166E-06,0.458817E-07,0.101912E-05,0.109403E-06,0.344716E-06,0.289526E-06,0.551894E-07,
567,0.566000E-06,0.200854E-06,0.457895E-07,0.102021E-05,0.109275E-06,0.344935E-06,0.289601E-06,0.553341E-07,
568,0.567000E-06,0.200543E-06,0.456977E-07,0.102130E-05,0.109148E-06,0.345154E-06,0.289676E-06,0.554789E-07,
569,0.568000E-06,0.200233E-06,0.456062E-07,0.102239E-05,0.109021E-06,0.345373E-06,0.289749E-06,0.556237E-07,
570,0.569000E-06,0.199924E-06,0.455151E-07,0.102348E-05,0.108894E-06,0.345591E-06,0.289822E-06,0.557685E-07,
571,0.570000E-06,0.199616E-06,0.454243E-07,0.102458E-05,0.108768E-06,0.345808E-06,0.289895E-06,0.559134E-07,
572,0.571000E-06,0.199309E-06,0.453338E-07,0.102567E-05,0.108641E-06,0.346025E-06,0.289967E-06,0.560583E-07,
573,0.572000E-06,0.199003E-06,0.452436E-07,0.102676E-05,0.108515E-06,0.346241E-06,0.290038E-06,0.562033E-07,
574,0.573000E-06,0.198697E-06,0.451538E-07,0.102785E-05,0.108390E-06,0.346456E-06,0.290108E-06,0.563482E-07,
575,0.574000E-06,0.198393E-06,0.450642E-07,0.102894E-05,0.108264E-06,0.346671E-06,0.290178E-06,0.564933E-07,
576,0.575000E-06,0.198089E-06,0.449750E-07,0.103003E-05,0.108139E-06,0.346886E-06,0.290248E-06,0.566383E-07,
577,0.576000E-06,0.197786E-06,0.448861E-07,0.103111E-05,0.108014E-06,0.347100E-06,0.290316E-06,0.567834E-07,
578,0.577000E-06,0.197485E-06,0.447975E-07,0.103220E-05,0.107890E-06,0.347313E-06,0.290384E-06,0.569285E-07,
579,0.578000E-06,0.197184E-06,0.447092E-07,0.103329E-05,0.107765E-06,0.347526E-06,0.290452E-06,0.570737E-07,
580,0.579000E-06,0.196884E-06,0.446212E-07,0.103438E-05,0.107641E-06,0.347738E-06,0.290519E-06,0.572189E-07,
581,0.580000E-06,0.196584E-06,0.445335E-07,0.103547E-05,0.107517E-06,0.347949E-06,0.290585E-06,0.573641E-07,
582,0.581000E-06,0.196286E-06,0.444461E-07,0.103655E-05,0.107394E-06,0.348160E-06,0.290651E-06,0.575094E-07,
583,0.582000E-06,0.195988E-06,0.443590E-07,0.103764E-05,0.107270E-06,0.348371E-06,0.290716E-06,0.576546E-07,
584,0.583000E-06,0.195692E-06,0.442722E-07,0.103873E-05,0.107147E-06,0.348580E-06,0.290780E-06,0.578000E-07,
585,0.584000E-06,0.195396E-06,0.441857E-07,0.103981E-05,0.107025E-06,0.348790E-06,0.290844E-06,0.579453E-07,
586,0.585000E-06,0.195101E-06,0.440995E-07,0.104090E-05,0.106902E-06,0.348998E-06,0.290908E-06,0.580907E-07,
587,0.586000E-06,0.194807E-06,0.440136E-07,0.104199E-05,0.106780E-06,0.349207E-06,0.290971E-06,0.582361E-07,
588,0.587000E-06,0.194514E-06,0.439280E-07,0.104307E-05,0.106658E-06,0.349414E-06,0.291033E-06,0.583816E-07,
589,0.588000E-06,0.194221E-06,0.438427E-07,0.104416E-05,0.106536E-06,0.349621E-06,0.291094E-06,0.585270E-07,
590,0.589000E-06,0.193930E-06,0.437576E-07,0.104524E-05,0.106414E-06,0.349828E-06,0.291155E-06,0.586725E-07,
591,0.590000E-06,0.193639E-06,0.436729E-07,0.104633E-05,0.106293E-06,0.350034E-06,0.291216E-06,0.588181E-07,
592,0.591000E-06,0.193349E-06,0.435885E-07,0.104741E-05,0.106172E-06,0.350239E-06,0.291276E-06,0.589637E-07,
593,0.592000E-06,0.193060E-06,0.435043E-07,0.104850E-05,0.106051E-06,0.350444E-06,0.291335E-06,0.591092E-07,
594,0.593000E-06,0.192772E-06,0.434204E-07,0.104958E-05,0.105931E-06,0.350649E-06,0.291394E-06,0.592549E-07,
595,0.594000E-06,0.192484E-06,0.433369E-07,0.105066E-05,0.105811E-06,0.350853E-06,0.291452E-06,0.594005E-07,
596,0.595000E-06,0.192198E-06,0.432536E-07,0.105175E-05,0.105691E-06,0.351056E-06,0.291510E-06,0.595462E-07,
597,0.596000E-06,0.191912E-06,0.431705E-07,0.105283E-05,0.105571E-06,0.351259E-06,0.291567E-06,0.596919E-07,
598,0.597000E-06,0.191627E-06,0.430878E-07,0.105391E-05,0.105451E-06,0.351461E-06,0.291623E-06,0.598377E-07,
599,0.598000E-06,0.191343E-06,0.430054E-07,0.105499E-05,0.105332E-06,0.351663E-06,0.291679E-06,0.599834E-07,
600,0.599000E-06,0.191059E-06,0.429232E-07,0.105608E-05,0.105213E-06,0.351864E-06,0.291735E-06,0.601292E-07,
601,0.600000E-06,0.190777E-06,0.428413E-07,0.105716E-05,0.105094E-06,0.352065E-06,0.291790E-06,0.602751E-07,
602,0.601000E-06,0.190495E-06,0.427597E-07,0.105824E-05,0.104975E-06,0.352265E-06,0.291844E-06,0.604209E-07,
603,0.602000E-06,0.190214E-06,0.426783E-07,0.105932E-05,0.104857E-06,0.352465E-06,0.291898E-06,0.605668E-07,
604,0.603000E-06,0.189934E-06,0.425972E-07,0.106040E-05,0.104739E-06,0.352664E-06,0.291951E-06,0.607127E-07,
605,0.604000E-06,0.189654E-06,0.425164E-07,0.106148E-05,0.104621E-06,0.352862E-06,0.292004E-06,0.608586E-07,
606,0.605000E-06,0.189375E-06,0.424359E-07,0.106256E-05,0.104504E-06,0.353060E-06,0.292056E-06,0.610046E-07,
607,0.606000E-06,0.189098E-06,0.423557E-07,0.106364E-05,0.104386E-06,0.353258E-06,0.292107E-06,0.611506E-07,
608,0.607000E-06,0.188821E-06,0.422757E-07,0.106472E-05,0.104269E-06,0.353455E-06,0.292159E-06,0.612966E-07,
609,0.608000E-06,0.188544E-06,0.421960E-07,0.106580E-05,0.104152E-06,0.353652E-06,0.292209E-06,0.614426E-07,
610,0.609000E-06,0.188269E-06,0.421165E-07,0.106688E-05,0.104036E-06,0.353848E-06,0.292259E-06,0.615886E-07,
611,0.610000E-06,0.187994E-06,0.420373E-07,0.106796E-05,0.103919E-06,0.354043E-06,0.292309E-06,0.617347E-07,
612,0.611000E-06,0.187720E-06,0.419584E-07,0.106904E-05,0.103803E-06,0.354239E-06,0.292358E-06,0.618808E-07,
613,0.612000E-06,0.187447E-06,0.418798E-07,0.107012E-05,0.103687E-06,0.354433E-06,0.292406E-06,0.620270E-07,
614,0.613000E-06,0.187174E-06,0.418014E-07,0.107120E-05,0.103571E-06,0.354627E-06,0.292454E-06,0.621731E-07,
615,0.614000E-06,0.186902E-06,0.417232E-07,0.107228E-05,0.103456E-06,0.354821E-06,0.292502E-06,0.623193E-07,
616,0.615000E-06,0.186631E-06,0.416454E-07,0.107335E-05,0.103341E-06,0.355014E-06,0.292549E-06,0.624655E-07,
