example file                                                                   
k1=1.0E13,k2=1.0E13,k3=500000.0,k4=1000.0,k5=1.0,
Iter,Time,a,b,c,d,m,n,p,
108,0.107000E-06,0.613670E-06,0.216221E-06,0.390779E-06,0.181228E-06,0.102551E-06,0.100251E-06,0.230014E-08,
109,0.108000E-06,0.611239E-06,0.214902E-06,0.393098E-06,0.181436E-06,0.103663E-06,0.101312E-06,0.235050E-08,
110,0.109000E-06,0.608824E-06,0.213595E-06,0.395405E-06,0.181633E-06,0.104772E-06,0.102370E-06,0.240139E-08,
111,0.110000E-06,0.606425E-06,0.212302E-06,0.397698E-06,0.181820E-06,0.105877E-06,0.103425E-06,0.245281E-08,
112,0.111000E-06,0.604042E-06,0.211022E-06,0.399978E-06,0.181998E-06,0.106980E-06,0.104475E-06,0.250475E-08,
113,0.112000E-06,0.601675E-06,0.209754E-06,0.402246E-06,0.182166E-06,0.108079E-06,0.105522E-06,0.255722E-08,
114,0.113000E-06,0.599324E-06,0.208499E-06,0.404501E-06,0.182325E-06,0.109176E-06,0.106565E-06,0.261021E-08,
115,0.114000E-06,0.596988E-06,0.207257E-06,0.406743E-06,0.182475E-06,0.110268E-06,0.107605E-06,0.266372E-08,
116,0.115000E-06,0.594669E-06,0.206026E-06,0.408974E-06,0.182616E-06,0.111358E-06,0.108640E-06,0.271775E-08,
117,0.116000E-06,0.592364E-06,0.204808E-06,0.411192E-06,0.182749E-06,0.112443E-06,0.109671E-06,0.277230E-08,
118,0.117000E-06,0.590075E-06,0.203601E-06,0.413399E-06,0.182873E-06,0.113526E-06,0.110698E-06,0.282736E-08,
119,0.118000E-06,0.587802E-06,0.202406E-06,0.415594E-06,0.182989E-06,0.114604E-06,0.111722E-06,0.288294E-08,
120,0.119000E-06,0.585543E-06,0.201223E-06,0.417777E-06,0.183098E-06,0.115680E-06,0.112741E-06,0.293903E-08,
121,0.120000E-06,0.583300E-06,0.200051E-06,0.419949E-06,0.183198E-06,0.116751E-06,0.113755E-06,0.299563E-08,
122,0.121000E-06,0.581071E-06,0.198890E-06,0.422110E-06,0.183291E-06,0.117819E-06,0.114766E-06,0.305274E-08,
123,0.122000E-06,0.578857E-06,0.197740E-06,0.424260E-06,0.183377E-06,0.118883E-06,0.115772E-06,0.311036E-08,
124,0.123000E-06,0.576658E-06,0.196601E-06,0.426399E-06,0.183456E-06,0.119943E-06,0.116774E-06,0.316849E-08,
125,0.124000E-06,0.574474E-06,0.195473E-06,0.428527E-06,0.183527E-06,0.121000E-06,0.117773E-06,0.322711E-08,
126,0.125000E-06,0.572303E-06,0.194356E-06,0.430644E-06,0.183590E-06,0.122054E-06,0.118768E-06,0.328621E-08,
127,0.126000E-06,0.570146E-06,0.193250E-06,0.432750E-06,0.183646E-06,0.123104E-06,0.119758E-06,0.334581E-08,
128,0.127000E-06,0.568003E-06,0.192154E-06,0.434846E-06,0.183694E-06,0.124151E-06,0.120745E-06,0.340590E-08,
129,0.128000E-06,0.565875E-06,0.191069E-06,0.436931E-06,0.183737E-06,0.125194E-06,0.121728E-06,0.346649E-08,
130,0.129000E-06,0.563760E-06,0.189994E-06,0.439006E-06,0.183773E-06,0.126234E-06,0.122706E-06,0.352757E-08,
131,0.130000E-06,0.561659E-06,0.188928E-06,0.441072E-06,0.183802E-06,0.127269E-06,0.123680E-06,0.358914E-08,
132,0.131000E-06,0.559572E-06,0.187873E-06,0.443127E-06,0.183826E-06,0.128301E-06,0.124650E-06,0.365119E-08,
133,0.132000E-06,0.557498E-06,0.186827E-06,0.445173E-06,0.183843E-06,0.129330E-06,0.125616E-06,0.371373E-08,
134,0.133000E-06,0.555437E-06,0.185791E-06,0.447209E-06,0.183855E-06,0.130354E-06,0.126577E-06,0.377675E-08,
135,0.134000E-06,0.553390E-06,0.184765E-06,0.449235E-06,0.183861E-06,0.131375E-06,0.127534E-06,0.384025E-08,
136,0.135000E-06,0.551356E-06,0.183748E-06,0.451252E-06,0.183861E-06,0.132391E-06,0.128487E-06,0.390423E-08,
137,0.136000E-06,0.549336E-06,0.182740E-06,0.453260E-06,0.183856E-06,0.133404E-06,0.129435E-06,0.396868E-08,
